Subject,Stage1,Stage2,Event,Region,FrequencyBand,FreqRange_Hz,Mean_Stage1_dB,Mean_Stage2_dB,Direction,Z_Score,P_Value,Significant
104,early,later,eye_closed,Right_Frontal,theta,4-8Hz,15.5643973125917,17.9769817673209,Increase,53,0.0055810915679557,1
104,early,later,eye_closed,Left_Temporal,theta,4-8Hz,14.7674207512411,18.3642123119043,Increase,21,0.000228062095878625,1
104,early,later,eye_closed,Right_Temporal,theta,4-8Hz,15.3655657045169,18.2938383131409,Increase,41,0.00184390839870141,1
104,early,later,eye_closed,Left_Parietal,theta,4-8Hz,14.9326782129576,18.3701242758333,Increase,29,0.00054593535418113,1
104,early,later,eye_closed,Right_Parietal,theta,4-8Hz,15.2882264807914,18.3220808037375,Increase,37,0.00124410185384206,1
104,early,later,eye_closed,Left_Occipital,theta,4-8Hz,15.0522286529189,18.3511405000903,Increase,32,0.000747794274304567,1
104,early,later,eye_closed,Right_Occipital,theta,4-8Hz,15.1435697593042,18.3134029666918,Increase,35,0.00101724135032865,1
104,early,later,eye_open,Left_Frontal,alpha,9-13Hz,14.6960069872489,16.7373442897125,Increase,20,0.000203778459561511,1
104,early,later,eye_open,Right_Frontal,alpha,9-13Hz,15.0551633872486,16.8927888543105,Increase,63,0.0129291721727266,1
104,early,later,eye_open,Left_Temporal,alpha,9-13Hz,14.8815778918159,16.9618655168202,Increase,20,0.000203778459561511,1
104,early,later,eye_open,Right_Temporal,alpha,9-13Hz,15.0354254588514,16.9387978320632,Increase,58,0.00857443461110533,1
104,early,later,eye_open,Left_Parietal,alpha,9-13Hz,15.0136992526521,16.9974321771811,Increase,27,0.000440938267949365,1
104,early,later,eye_open,Right_Parietal,alpha,9-13Hz,15.024299900784,16.9425955014592,Increase,58,0.00857443461110533,1
104,early,later,eye_open,Left_Occipital,alpha,9-13Hz,15.0735182717864,17.0530870270716,Increase,38,0.0013742758758317,1
104,early,later,eye_open,Right_Occipital,alpha,9-13Hz,15.0704795544103,17.0584930424243,Increase,42,0.00203063844500034,1
104,early,later,eye_closed,Left_Frontal,alpha,9-13Hz,15.5451476814876,18.1551147845561,Increase,41,0.00184390839870141,1
104,early,later,eye_closed,Right_Frontal,alpha,9-13Hz,16.1048334096441,19.2998785504891,Increase,24,0.000318217180315068,1
104,early,later,eye_closed,Left_Temporal,alpha,9-13Hz,15.8391575450447,18.4293831846842,Increase,43,0.00223457750830318,1
104,early,later,eye_closed,Right_Temporal,alpha,9-13Hz,15.9851669714855,19.0915919646096,Increase,24,0.000318217180315068,1
104,early,later,eye_closed,Left_Parietal,alpha,9-13Hz,15.8852302756935,18.641482970681,Increase,36,0.00112539778705037,1
104,early,later,eye_closed,Right_Parietal,alpha,9-13Hz,15.9906458622673,19.0449690922721,Increase,28,0.000490824933883608,1
104,early,later,eye_closed,Left_Occipital,alpha,9-13Hz,15.9017110587381,18.8346940288162,Increase,29,0.00054593535418113,1
104,early,later,eye_closed,Right_Occipital,alpha,9-13Hz,15.9130763650481,18.9179396632172,Increase,26,0.000395817058265891,1
105,early,later,eye_open,Left_Frontal,theta,4-8Hz,16.2033697295692,12.9241559609836,Decrease,297,2.66914980318127e-05,1
105,early,later,eye_open,Right_Frontal,theta,4-8Hz,15.8588794452106,13.5985181073229,Decrease,248,0.00511026066085587,1
105,early,later,eye_open,Left_Temporal,theta,4-8Hz,16.1347606606319,13.1147327809171,Decrease,296,3.02695944347154e-05,1
105,early,later,eye_open,Right_Temporal,theta,4-8Hz,15.8430614526931,13.4834376439137,Decrease,242,0.00857443461110533,1
105,early,later,eye_open,Left_Parietal,theta,4-8Hz,16.0469735189009,13.2367113623554,Decrease,283,0.00014469608785024,1
