Subject,Stage,Event,Region,FrequencyBand,FreqRange_Hz,MeanPower_dB,StdPower_dB,N_Windows
104,later,eye_open,Right_Occipital,theta,4-8Hz,16.5918506058755,2.06556983879086,24
104,early,eye_closed,Left_Frontal,theta,4-8Hz,14.7420673320226,1.96204673325971,24
104,later,eye_closed,Left_Frontal,theta,4-8Hz,18.2489218425499,2.13758027018444,24
104,early,eye_closed,Right_Frontal,theta,4-8Hz,15.5643973125917,1.38921849451675,24
104,later,eye_closed,Right_Frontal,theta,4-8Hz,17.9769817673209,2.85705384106285,24
104,early,eye_closed,Left_Temporal,theta,4-8Hz,14.7674207512411,2.19277001857568,24
104,later,eye_closed,Left_Temporal,theta,4-8Hz,18.3642123119043,2.28493507233635,24
104,early,eye_closed,Right_Temporal,theta,4-8Hz,15.3655657045169,1.77059727841099,24
104,later,eye_closed,Right_Temporal,theta,4-8Hz,18.2938383131409,2.60843743794494,24
104,early,eye_closed,Left_Parietal,theta,4-8Hz,14.9326782129576,2.20418455257566,24
104,later,eye_closed,Left_Parietal,theta,4-8Hz,18.3701242758333,2.3658331048781,24
104,early,eye_closed,Right_Parietal,theta,4-8Hz,15.2882264807914,1.89003617451623,24
104,later,eye_closed,Right_Parietal,theta,4-8Hz,18.3220808037375,2.57250940718542,24
104,early,eye_closed,Left_Occipital,theta,4-8Hz,15.0522286529189,2.30617623326865,24
104,later,eye_closed,Left_Occipital,theta,4-8Hz,18.3511405000903,2.48829563720374,24
104,early,eye_closed,Right_Occipital,theta,4-8Hz,15.1435697593042,2.18530958121656,24
104,later,eye_closed,Right_Occipital,theta,4-8Hz,18.3134029666918,2.56969157927796,24
104,early,eye_open,Left_Frontal,alpha,9-13Hz,14.6960069872489,1.54281440508559,24
104,later,eye_open,Left_Frontal,alpha,9-13Hz,16.7373442897125,1.52834943848891,24
104,early,eye_open,Right_Frontal,alpha,9-13Hz,15.0551633872486,2.14782812716687,24
104,later,eye_open,Right_Frontal,alpha,9-13Hz,16.8927888543105,2.01220591972769,24
104,early,eye_open,Left_Temporal,alpha,9-13Hz,14.8815778918159,1.62388355609006,24
104,later,eye_open,Left_Temporal,alpha,9-13Hz,16.9618655168202,1.34616559280592,24
104,early,eye_open,Right_Temporal,alpha,9-13Hz,15.0354254588514,2.04356781133333,24
104,later,eye_open,Right_Temporal,alpha,9-13Hz,16.9387978320632,1.8028188860049,24
104,early,eye_open,Left_Parietal,alpha,9-13Hz,15.0136992526521,1.64833781946014,24
104,later,eye_open,Left_Parietal,alpha,9-13Hz,16.9974321771811,1.3785551359934,24
104,early,eye_open,Right_Parietal,alpha,9-13Hz,15.024299900784,1.99033393853066,24
104,later,eye_open,Right_Parietal,alpha,9-13Hz,16.9425955014592,1.80280234512957,24
104,early,eye_open,Left_Occipital,alpha,9-13Hz,15.0735182717864,1.73815785620124,24
104,later,eye_open,Left_Occipital,alpha,9-13Hz,17.0530870270716,1.41557564326268,24
104,early,eye_open,Right_Occipital,alpha,9-13Hz,15.0704795544103,1.81332891195639,24
104,later,eye_open,Right_Occipital,alpha,9-13Hz,17.0584930424243,1.4777075035099,24
104,early,eye_closed,Left_Frontal,alpha,9-13Hz,15.5451476814876,1.87613580563885,24
104,later,eye_closed,Left_Frontal,alpha,9-13Hz,18.1551147845561,2.90182794845675,24
104,early,eye_closed,Right_Frontal,alpha,9-13Hz,16.1048334096441,1.63283917129964,24
104,later,eye_closed,Right_Frontal,alpha,9-13Hz,19.2998785504891,2.08780167064613,24
104,early,eye_closed,Left_Temporal,alpha,9-13Hz,15.8391575450447,1.86055246285568,24
104,later,eye_closed,Left_Temporal,alpha,9-13Hz,18.4293831846842,2.69235552940773,24
104,early,eye_closed,Right_Temporal,alpha,9-13Hz,15.9851669714855,1.78266036938726,24
104,later,eye_closed,Right_Temporal,alpha,9-13Hz,19.0915919646096,2.13451082586534,24
104,early,eye_closed,Left_Parietal,alpha,9-13Hz,15.8852302756935,1.87705712568578,24
104,later,eye_closed,Left_Parietal,alpha,9-13Hz,18.641482970681,2.46848439251915,24
104,early,eye_closed,Right_Parietal,alpha,9-13Hz,15.9906458622673,1.77446657350175,24
104,later,eye_closed,Right_Parietal,alpha,9-13Hz,19.0449690922721,2.14242812340977,24
104,early,eye_closed,Left_Occipital,alpha,9-13Hz,15.9017110587381,1.85565952210929,24
104,later,eye_closed,Left_Occipital,alpha,9-13Hz,18.8346940288162,2.29469323102878,24
104,early,eye_closed,Right_Occipital,alpha,9-13Hz,15.9130763650481,1.8409769876597,24
104,later,eye_closed,Right_Occipital,alpha,9-13Hz,18.9179396632172,2.22642689357653,24
